op_type,op_name,routing_mode,error,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,capacity_ops_s,payload_bytes,throughput_bps,cpu_percent,system_mem_mb,frr_total_mb
host,h6,ospf,,8.0,51.0,55.02,48.35,55.09,18.16,100.0,14525.99,0.0,1493.37,157.5
router,r3,ospf,,9.0,247.22,246.71,242.09,255.95,3.91,754.0,23567.53,0.0,1521.27,165.0
host,h7,ospf,,10.0,47.12,55.32,50.4,55.32,18.21,100.0,14569.15,1.47,1497.9,165.13
host,h8,ospf,,11.0,46.99,48.92,44.66,48.92,20.48,100.0,16384.01,0.0,1500.3,165.13
router,r4,ospf,,12.0,235.23,245.98,240.65,245.98,4.07,754.0,24536.98,0.0,1517.03,183.33
host,h9,ospf,,13.0,50.03,57.91,53.25,57.91,17.32,100.0,13854.52,3.13,1514.77,183.53
host,h10,ospf,,14.0,45.82,54.59,49.71,54.59,18.43,101.0,14892.13,3.0,1515.23,183.53
host,h11,ospf,,15.0,51.28,59.81,55.1,62.94,15.97,101.0,12906.72,1.73,1514.9,183.53
host,h12,ospf,,16.0,48.97,54.74,49.93,54.74,18.28,101.0,14772.83,7.47,1515.07,183.7
router,r5,ospf,,17.0,241.98,261.7,255.75,261.7,3.83,1401.0,42898.43,5.83,1529.1,196.2
host,h13,ospf,,18.0,53.05,57.17,52.13,57.17,17.52,101.0,14159.0,4.93,1521.9,196.3
host,h14,ospf,,19.0,49.31,50.87,46.43,51.88,19.34,101.0,15622.49,1.6,1521.93,196.3
router,r6,ospf,,20.0,249.16,270.95,263.85,270.95,3.69,1401.0,41379.63,3.03,1536.2,208.83
host,h15,ospf,,21.0,50.89,55.91,50.79,55.91,17.91,101.0,14471.71,3.97,1507.97,209.03
host,h16,ospf,,22.0,47.07,54.1,49.27,54.1,18.52,101.0,14966.79,5.87,1508.8,209.03
router,r7,ospf,,23.0,254.4,256.4,250.07,263.34,3.8,861.0,26200.3,1.7,1512.33,215.7
host,h17,ospf,,24.0,51.69,60.16,55.54,60.16,16.65,101.0,13453.04,5.5,1509.07,215.9
host,h18,ospf,,25.0,51.57,56.16,51.55,56.16,17.83,101.0,14407.32,2.03,1508.8,215.9
router,r8,ospf,,26.0,244.98,249.57,243.4,252.86,3.96,861.0,27250.67,5.17,1513.9,234.03
host,h19,ospf,,27.0,52.14,68.82,64.03,68.82,15.08,101.0,12183.97,3.6,1504.07,234.23
