op_type,op_name,routing_mode,error,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,capacity_ops_s,payload_bytes,throughput_bps,cpu_percent,system_mem_mb,frr_total_mb
host,h6,manual,,8.0,55.53,61.18,56.67,63.78,15.86,100.0,12691.26,0.0,1416.9,87.9
router,r3,manual,,9.0,90.15,91.46,86.84,95.48,10.53,754.0,63533.14,0.0,1417.17,93.6
host,h7,manual,,10.0,47.09,51.17,46.28,51.17,19.57,100.0,15650.99,5.27,1416.73,93.63
host,h8,manual,,11.0,49.06,50.39,45.52,51.06,19.59,100.0,15669.06,5.77,1416.87,93.67
router,r4,manual,,12.0,80.08,94.9,86.23,94.9,10.58,754.0,63813.35,2.6,1429.9,110.87
host,h9,manual,,13.0,46.95,51.49,46.86,51.49,19.44,100.0,15554.7,12.1,1430.2,110.9
host,h10,manual,,14.0,48.21,51.94,47.26,51.94,19.26,101.0,15564.18,5.37,1430.13,110.93
host,h11,manual,,15.0,50.57,57.31,52.87,57.31,17.54,101.0,14173.0,5.23,1429.3,110.93
host,h12,manual,,16.0,48.89,55.08,50.09,55.08,18.18,101.0,14688.46,5.13,1409.9,110.93
router,r5,manual,,17.0,91.0,120.89,115.39,120.89,8.51,1401.0,95440.23,5.83,1410.63,116.73
host,h13,manual,,18.0,48.42,54.14,49.12,54.14,18.47,101.0,14923.46,5.5,1410.57,116.77
host,h14,manual,,19.0,47.74,53.84,48.9,53.84,18.7,101.0,15108.58,4.33,1410.6,116.8
router,r6,manual,,20.0,92.86,110.87,105.48,110.87,9.02,1401.0,101137.45,4.23,1415.57,122.53
host,h15,manual,,21.0,48.29,51.62,47.01,51.62,19.37,101.0,15651.87,2.83,1416.27,122.57
host,h16,manual,,22.0,46.8,53.44,48.8,53.44,18.82,101.0,15205.62,7.43,1417.37,122.6
router,r7,manual,,23.0,86.51,104.45,99.15,104.45,9.59,861.0,66030.33,6.63,1415.27,122.73
host,h17,manual,,24.0,48.06,52.79,48.3,52.79,19.0,101.0,15349.7,9.57,1416.4,122.8
host,h18,manual,,25.0,50.7,53.29,48.62,54.09,18.49,101.0,14940.41,4.43,1416.17,122.83
router,r8,manual,,26.0,92.82,97.53,92.57,97.87,10.22,861.0,70410.11,4.7,1421.1,122.73
host,h19,manual,,27.0,49.21,54.88,49.84,54.88,18.25,101.0,14744.36,7.57,1421.47,122.77
host,h20,manual,,28.0,50.81,54.94,50.33,54.94,18.23,101.0,14726.29,5.7,1421.5,122.77
host,h21,manual,,29.0,48.39,54.88,50.46,54.88,18.24,101.0,14736.19,6.17,1422.53,122.77
host,h22,manual,,30.0,47.71,54.46,49.62,54.46,18.45,101.0,14902.79,1.77,1422.83,122.77
host,h23,manual,,31.0,49.01,53.87,49.45,53.87,18.6,101.0,15028.04,5.3,1423.37,122.77
host,h24,manual,,32.0,49.91,54.41,49.62,54.41,18.39,101.0,14856.84,5.37,1423.97,122.77
host,h25,manual,,33.0,49.04,54.72,49.82,54.72,18.3,101.0,14783.06,5.37,1424.47,122.77
host,h26,manual,,34.0,52.25,53.08,48.26,53.4,18.75,101.0,15151.67,5.47,1425.07,122.77
host,h27,manual,,35.0,47.87,58.03,53.37,58.03,17.25,101.0,13938.69,5.5,1425.4,122.77
host,h28,manual,,36.0,51.06,52.94,48.17,53.95,18.54,101.0,14977.32,5.47,1426.0,122.77
