op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,error
host,h6,8,29.92,65.86,55.23,65.86,
router,r3,9,577.61,419.16,412.39,577.61,
host,h7,10,69.5,59.23,49.92,69.5,
host,h8,11,69.2,61.61,51.96,69.2,
router,r4,12,571.15,447.81,439.42,571.15,
host,h9,13,67.61,69.43,59.28,69.43,
host,h10,14,63.89,63.33,53.67,63.89,
host,h11,15,72.83,59.91,50.73,72.83,
host,h12,16,25.99,52.84,49.33,52.84,
router,r5,17,516.87,452.64,446.28,516.87,
host,h13,18,45.76,64.61,56.55,64.61,
host,h14,19,27.13,57.92,54.46,57.92,
router,r6,20,544.61,449.05,444.71,544.61,
host,h15,21,74.42,58.53,50.37,74.42,
host,h16,22,66.75,59.27,51.46,66.75,
router,r7,23,527.75,454.31,448.03,527.75,
host,h17,24,53.71,64.79,57.17,64.79,
host,h18,25,66.75,61.2,55.81,66.75,
router,r8,26,536.99,447.85,441.75,536.99,
host,h19,27,76.1,67.32,61.96,76.1,
host,h20,28,31.95,56.19,52.8,56.19,
host,h21,29,72.61,53.07,45.08,72.61,
host,h22,30,71.31,58.05,52.6,71.31,
host,h23,31,78.49,61.33,53.54,78.49,
host,h24,32,75.9,60.62,51.89,75.9,
host,h25,33,34.44,53.64,50.2,53.64,
host,h26,34,61.88,56.83,51.33,61.88,
host,h27,35,70.97,63.51,58.08,70.97,
host,h28,36,71.54,62.38,54.77,71.54,
host,h29,37,75.65,65.38,57.44,75.65,
host,h30,38,78.14,65.27,57.6,78.14,
host,h31,39,34.19,62.68,56.02,62.68,
router,r9,40,560.08,453.9,446.76,560.08,
host,h32,41,35.08,62.78,59.57,62.78,
host,h33,42,74.04,68.69,61.49,74.04,
router,r10,43,485.86,458.86,454.76,485.86,
host,h34,44,71.5,72.64,64.59,72.64,
host,h35,45,68.45,72.54,62.73,72.54,
router,r11,46,528.18,474.1,466.46,528.18,
host,h36,47,33.72,71.58,66.11,71.58,
host,h37,48,31.0,74.5,68.24,74.5,
router,r12,49,592.29,494.55,487.45,592.29,
host,h38,50,77.55,71.16,61.55,77.55,
host,h39,51,71.9,67.31,57.72,71.9,
host,h40,52,72.1,73.99,64.37,73.99,
host,h41,53,76.6,65.59,57.35,76.6,
host,h42,54,31.42,55.21,49.58,55.21,
host,h43,55,53.38,68.43,62.76,68.43,
host,h44,56,78.98,65.99,60.27,78.98,
host,h45,57,74.95,72.85,64.19,74.95,
host,h46,58,71.81,69.69,60.92,71.81,
host,h47,59,74.12,63.18,54.74,74.12,
host,h48,60,74.96,70.88,65.65,74.96,
router,r13,61,518.0,485.49,479.07,518.0,
host,h49,62,70.85,72.75,66.09,72.75,
host,h50,63,71.56,70.97,63.72,71.56,
router,r14,64,567.75,501.28,495.82,567.75,
host,h51,65,76.83,66.94,59.84,76.83,
host,h52,66,34.68,58.74,53.21,58.74,
router,r15,67,512.14,484.55,481.09,512.14,
host,h53,68,43.4,70.75,66.1,70.75,
host,h54,69,34.35,59.42,55.1,59.42,
router,r16,70,577.46,525.58,520.12,577.46,
host,h55,71,43.35,68.25,63.37,68.25,
host,h56,72,76.5,75.57,66.72,76.5,
router,r17,73,492.76,505.42,498.81,505.42,
host,h57,74,79.36,76.77,68.71,79.36,
host,h58,75,74.28,69.76,61.67,74.28,
router,r18,76,557.98,539.26,533.47,557.98,
host,h59,77,40.38,72.66,68.82,72.66,
host,h60,78,82.2,90.45,82.54,90.45,
router,r19,79,589.79,526.28,520.75,589.79,
host,h61,80,88.24,74.06,66.88,88.24,
host,h62,81,70.67,65.57,58.33,70.67,
router,r20,82,610.14,540.68,534.96,610.14,
host,h63,83,50.39,72.36,68.33,72.36,
host,h64,84,32.04,68.11,64.03,68.11,
host,h65,85,59.6,79.4,69.28,79.4,
host,h66,86,79.97,73.2,64.39,79.97,
host,h67,87,85.14,63.71,56.75,85.14,
host,h68,88,75.88,73.17,67.14,75.88,
host,h69,89,87.61,75.08,69.09,87.61,
host,h70,90,81.86,74.09,63.9,81.86,
host,h71,91,77.88,73.56,64.98,77.88,
