op_type,op_name,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,payload_bytes,throughput_bps,cpu_percent,error
host,h6,8,26.87,64.84,59.23,64.84,100,12338.06,0.0,
router,r3,9,150.51,131.4,127.1,150.51,754,45905.63,0.0,
host,h7,10,43.04,59.36,55.47,59.36,100,13477.09,0.0,
host,h8,11,66.89,69.27,56.36,69.27,100,11549.01,14.2,
router,r4,12,115.06,123.33,119.93,123.33,754,48909.43,14.3,
host,h9,13,69.98,68.17,60.5,69.98,100,11735.37,12.8,
host,h10,14,76.76,59.36,51.95,76.76,101,13611.86,13.1,
host,h11,15,37.8,63.69,57.26,63.69,101,12686.45,0.0,
host,h12,16,48.09,62.21,55.81,62.21,101,12988.27,0.0,
router,r5,17,128.53,137.26,131.32,137.26,1401,81655.25,10.4,
host,h13,18,37.66,69.44,63.26,69.44,101,11635.94,0.0,
host,h14,19,82.6,64.81,55.57,82.6,101,12467.21,9.3,
router,r6,20,136.88,146.75,133.36,146.75,1401,76374.79,9.6,
host,h15,21,81.63,67.88,57.45,81.63,101,11903.36,0.0,
host,h16,22,71.93,64.99,57.85,71.93,101,12432.68,10.1,
router,r7,23,190.79,127.96,115.55,190.79,861,53829.32,10.3,
host,h17,24,87.67,74.9,67.31,87.67,101,10787.72,10.5,
host,h18,25,77.35,69.89,59.54,77.35,101,11561.02,8.6,
router,r8,26,174.61,133.64,121.55,174.61,861,51541.45,9.3,
host,h19,27,67.35,66.06,56.4,67.35,101,12231.3,0.0,
host,h20,28,77.15,66.9,58.25,77.15,101,12077.73,10.1,
host,h21,29,124.56,68.85,58.22,124.56,101,11735.66,9.5,
host,h22,30,110.69,65.88,56.56,110.69,101,12264.72,10.5,
host,h23,31,122.28,59.79,53.31,122.28,101,13513.97,12.3,
host,h24,32,127.88,64.09,57.06,127.88,101,12607.27,13.3,
host,h25,33,128.57,65.11,56.24,128.57,101,12409.77,13.2,
host,h26,34,113.49,59.85,50.12,113.49,101,13500.42,13.0,
host,h27,35,133.32,72.01,58.5,133.32,101,11220.66,0.0,
host,h28,36,125.63,74.23,62.09,125.63,101,10885.09,13.0,
host,h29,37,112.97,60.44,52.12,112.97,101,13368.63,12.2,
host,h30,38,128.72,66.98,55.24,128.72,101,12063.3,10.9,
host,h31,39,134.05,66.07,54.13,134.05,101,12229.45,12.8,
router,r9,40,297.06,135.8,124.27,297.06,861,50721.65,11.9,
host,h32,41,126.76,74.48,63.04,126.76,101,10848.55,9.8,
host,h33,42,129.44,68.51,61.81,129.44,101,11793.9,11.8,
router,r10,43,257.4,149.6,142.21,257.4,874,46737.97,10.3,
host,h34,44,128.27,71.18,61.09,128.27,105,11801.07,10.9,
host,h35,45,120.57,63.31,55.16,120.57,105,13268.05,100.0,
router,r11,46,288.22,160.9,150.24,288.22,1530,76072.09,11.2,
host,h36,47,131.71,62.08,55.1,131.71,105,13530.93,10.5,
host,h37,48,115.7,73.8,65.51,115.7,105,11382.11,10.9,
router,r12,49,326.68,160.7,151.06,326.68,1535,76415.68,11.2,
host,h38,50,121.96,89.57,73.91,121.96,105,9378.14,10.6,
host,h39,51,125.89,71.1,62.2,125.89,105,11814.35,11.0,
host,h40,52,132.22,75.71,60.1,132.22,101,10672.3,11.2,
host,h41,53,126.02,111.87,101.25,126.02,101,7222.67,18.6,
host,h42,54,130.29,71.9,64.61,130.29,101,11237.83,11.3,
host,h43,55,85.41,74.65,63.36,85.41,101,10823.84,15.0,
host,h44,56,56.15,59.68,52.21,59.68,101,13538.87,0.0,
host,h45,57,123.98,68.71,60.63,123.98,101,11759.57,12.0,
host,h46,58,123.94,65.75,57.44,123.94,105,12775.67,12.3,
host,h47,59,40.89,62.81,57.02,62.81,105,13373.67,12.5,
host,h48,60,144.95,63.65,51.43,144.95,105,13197.17,13.0,
router,r13,61,273.23,158.75,146.72,273.23,741,37341.73,10.4,
host,h49,62,143.42,73.01,64.43,143.42,105,11505.27,13.0,
host,h50,63,135.57,64.7,51.81,135.57,105,12983.0,13.1,
router,r14,64,307.69,163.06,152.75,307.69,750,36796.27,11.6,
host,h51,65,48.02,60.11,55.09,60.11,105,13974.38,12.7,
host,h52,66,133.68,78.0,65.41,133.68,105,10769.23,12.1,
router,r15,67,279.97,170.74,156.46,279.97,887,41560.27,15.1,
host,h53,68,150.53,73.0,59.72,150.53,105,11506.85,14.7,
host,h54,69,156.59,78.54,68.4,156.59,105,10695.19,14.0,
router,r16,70,292.73,164.76,157.24,292.73,887,43068.71,13.1,
host,h55,71,147.1,83.97,73.8,147.1,105,10003.57,11.7,
host,h56,72,140.36,74.52,67.35,140.36,105,11272.14,11.6,
router,r17,73,228.73,174.58,167.54,228.73,750,34368.2,11.4,
host,h57,74,145.89,84.88,73.16,145.89,105,9896.32,0.0,
host,h58,75,144.91,77.89,64.33,144.91,105,10784.44,12.6,
router,r18,76,210.16,179.43,168.09,210.16,751,33483.81,10.8,
host,h59,77,143.93,75.9,63.72,143.93,105,11067.19,11.3,
host,h60,78,143.34,66.44,56.03,143.34,105,12642.99,11.6,
router,r19,79,263.31,196.66,188.67,263.31,1421,57805.35,11.2,
host,h61,80,139.07,73.12,66.96,139.07,105,11487.96,12.3,
host,h62,81,152.59,73.53,64.65,152.59,105,11423.91,11.9,
router,r20,82,204.78,188.97,179.48,204.78,1422,60200.03,10.1,
host,h63,83,93.92,78.32,65.56,93.92,105,10725.23,11.7,
host,h64,84,152.02,82.64,73.15,152.02,105,10164.57,11.4,
host,h65,85,99.39,75.34,66.68,99.39,105,11149.46,12.4,
host,h66,86,45.15,73.38,68.62,73.38,105,11447.26,8.9,
host,h67,87,140.82,69.8,58.63,140.82,105,12034.38,12.2,
host,h68,88,138.38,77.61,64.1,138.38,105,10823.35,12.4,
host,h69,89,149.01,82.59,75.43,149.01,105,10170.72,13.2,
host,h70,90,148.86,73.96,65.77,148.86,105,11357.49,12.2,
host,h71,91,173.86,81.64,66.72,173.86,105,10289.07,11.7,
host,h72,92,158.58,113.84,104.44,158.58,105,7378.78,12.6,
router,r21,93,299.47,190.4,179.13,299.47,751,31554.62,15.9,
host,h73,94,164.08,79.58,66.02,164.08,105,10555.42,0.0,
host,h74,95,45.64,75.9,70.08,75.9,105,11067.19,17.2,
router,r22,96,151.82,181.42,176.4,181.42,751,33116.53,16.2,
host,h75,97,158.37,79.66,70.57,158.37,105,10544.82,0.0,
host,h76,98,143.46,77.89,67.89,143.46,105,10784.44,12.6,
router,r23,99,187.56,186.82,183.28,187.56,889,38068.73,12.8,
host,h77,100,153.35,82.64,69.81,153.35,105,10164.57,12.0,
host,h78,101,158.6,80.43,71.33,158.6,105,10443.86,11.7,
router,r24,102,156.26,195.52,191.34,195.52,889,36374.8,12.6,
host,h79,103,161.33,88.6,82.51,161.33,105,9480.81,12.8,
